monitoring_id,episode_id,split,step_index,steps_per_episode,recipe_design_index,recipe_design_seed,nominal_absorbed_power_W,target_pressure_mTorr,nominal_flow_sccm,nominal_pumping_speed_m3_s,measured_absorbed_power_W,measured_flow_sccm,measured_pressure_mTorr,fault_present,fault_domain,fault_family,fault_profile,fault_severity,fault_direction,fault_magnitude_fraction,fault_onset_step,fault_started,fault_progress,signed_fault_fraction,fault_factor,fault_effect_active,active_fault_domain,active_fault_family,normal_power_coupling_factor,normal_flow_delivery_factor,normal_pumping_effectiveness_factor,applied_power_factor,applied_flow_factor,applied_pumping_factor,true_absorbed_power_W,true_flow_sccm,true_pumping_speed_m3_s,true_neutral_density_m3,true_ion_density_m3,true_electron_density_m3,true_electron_energy_density_J_m3,true_electron_temperature_eV,true_pressure_mTorr,true_pressure_relative_deviation_from_target,ionization_rate_coefficient_m3_s,ionization_density_rate_m3_s,charged_wall_loss_rate_s,charged_wall_loss_density_rate_m3_s,ionization_fraction,residence_time_proxy_s,collisional_power_loss_W,wall_power_loss_W,power_measurement_noise_factor,flow_measurement_noise_factor,pressure_measurement_noise_factor,power_measurement_relative_noise,flow_measurement_relative_noise,pressure_measurement_relative_noise,pressure_sensor_bias_factor,pressure_sensor_bias_fraction,integration_success,converged,max_relative_rate_s,neutral_particle_balance,ion_particle_balance,electron_energy_balance,total_particle_identity,max_balance_residual,physical_state_valid,balance_valid,domain_status,model_validity_status,qualification_valid,is_ml_eligible,error_message
monitor_train_001_step_000,monitor_train_001,train,0,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,66.331998746597648,20.230465712772258,21.028605287283696,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,0.97795090833977294,1.0135365971950663,0.9857665526652335,0.97795090833977294,1.0135365971950663,0.9857665526652335,65.702492553971567,20.270731943901325,0.01340249751159789,6.7727426545921045e+20,1.0457432392945869e+17,1.0457432392945869e+17,0.045733157620467972,1.8197195867725195,21.040986184228426,0.028171024751791684,5.9875271700850177e-18,4.2406959615580445e+20,4055.1980660305571,4.2406959615519385e+20,0.00015438085423946478,1.6935654643878482,45.555973359577671,20.146519194378914,1.0095811615078221,0.99801357784018352,0.99941158190798063,0.0095811615078220669,-0.0019864221598164811,-0.00058841809201937156,1,0,true,true,1.4430494794407506e-08,2.2569370438881115e-09,7.1992771650635351e-13,1.1399565368339256e-13,8.1938375965687199e-17,2.2569370438881115e-09,true,true,supported,valid,true,true,
monitor_train_001_step_001,monitor_train_001,train,1,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,66.526916332687875,19.915362584816709,20.433781916542706,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,1.000061840273639,0.99858619713564201,0.99644855114050301,1.000061840273639,0.99858619713564201,0.99644855114050301,67.187989758746866,19.971723942712842,0.013547730130412773,6.6013064481258996e+20,1.0564671420909883e+17,1.0564671420909883e+17,0.046400351272324468,1.8275262396467267,20.508382623795463,0.0021452698883014684,6.2313021894587005e-18,4.3457496267881723e+20,4113.4735323508921,4.3457496267896698e+20,0.00016001349148013418,1.6754103236255338,46.453815776811616,20.734173981936337,0.99016083933404286,0.99717794227189394,0.99636242854342894,-0.0098391606659571362,-0.0028220577281060644,-0.0036375714565710648,1,0,true,true,3.0342849463936877e-09,1.2086999903802853e-09,1.7229450941775754e-13,8.065393445388163e-15,8.3165122018694201e-17,1.2086999903802853e-09,true,true,supported,valid,true,true,
monitor_train_001_step_002,monitor_train_001,train,2,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,66.31503460886654,20.129458257727283,20.703437738375591,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,0.99959351900201721,0.9996090438333699,0.98893946968693713,0.99959351900201721,0.9996090438333699,0.98893946968693713,67.156526139664152,19.992180876667398,0.013445636541191575,6.6582436176610394e+20,1.060285705938119e+17,1.060285705938119e+17,0.04650125165587967,1.8249042533754927,20.685270224381565,0.010788909685794532,6.1485648042824006e-18,4.3406657321064373e+20,4093.8642365900328,4.3406657321076818e+20,0.00015921869933012566,1.6881318227403703,46.476321033033095,20.680205106632414,0.98746969834253229,1.0068665535744576,1.0008782826521943,-0.012530301657467713,0.0068665535744576456,0.00087828265219425106,1,0,true,true,2.6527386957410026e-09,1.0659610900483965e-09,1.4335688541903421e-13,1.0144102164975543e-14,0,1.0659610900483965e-09,true,true,supported,valid,true,true,
monitor_train_001_step_003,monitor_train_001,train,3,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,66.720093812547631,19.848356012839002,20.393105165562421,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,0.9948764661711913,1.0008450105251339,1.0035225546481579,0.9948764661711913,1.0008450105251339,1.0035225546481579,66.839616440157698,20.016900210502676,0.013643908393057253,6.5695996726335557e+20,1.0485880528670309e+17,1.0485880528670309e+17,0.046091420133686473,1.8289992670468831,20.409878685419994,-0.0026681402044967601,6.2781696860742736e-18,4.3249078743735684e+20,4124.5061514388317,4.3249078743753359e+20,0.00015958669696884473,1.6636000673924354,46.188249286323284,20.651367153833597,0.99821179961861284,0.99157990518555705,0.99917816660666614,-0.0017882003813871616,-0.0084200948144429466,-0.00082183339333385952,1,0,true,true,3.1521812025691598e-09,1.2514342819620368e-09,2.0434029710466943e-13,6.0998765879599685e-15,0,1.2514342819620368e-09,true,true,supported,valid,true,true,
monitor_train_001_step_004,monitor_train_001,train,4,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,68.640488619139205,20.102675130171573,20.492242890274849,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,0.99966378650481091,1.0094055636674901,1.0014249991342108,0.99966378650481091,1.0094055636674901,1.0014249991342108,67.16124697998417,20.188111273349804,0.013615389995389868,6.6396697853564027e+20,1.0589557656966571e+17,1.0589557656966571e+17,0.046464609303436849,1.825756340998727,20.627566607273796,0.0079692135644192277,6.1753564749114367e-18,4.3419651431085002e+20,4100.2327800287794,4.3419651431099092e+20,0.00015946378883678405,1.6670845954373501,46.465192168385357,20.696054811600696,1.0220252259401301,0.995767997212745,0.99343966646307047,0.022025225940130122,-0.0042320027872549959,-0.0065603335369295301,1,0,true,true,3.0623491349229157e-09,1.2212344128713668e-09,1.6225648451325692e-13,1.4004792938960305e-14,0,1.2212344128713668e-09,true,true,supported,valid,true,true,
monitor_train_001_step_005,monitor_train_001,train,5,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,67.975024757647361,19.841455434283187,20.696534957181264,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,1.0041614384535094,1.0029862537538965,0.9893681035374815,1.0041614384535094,1.0029862537538965,0.9893681035374815,67.46341648680675,20.059725075077928,0.013451464253746616,6.6778443353800914e+20,1.0666169408154611e+17,1.0666169408154611e+17,0.046755959367661755,1.8240084358386957,20.746164082565873,0.013764497427845314,6.1204976565516372e-18,4.3594480264283239e+20,4087.1730605522575,4.3594480264296143e+20,0.00015969923067245178,1.6874004564866774,46.703922541594473,20.759493945213499,1.0075834918757882,0.98911901135345481,0.99760779268942945,0.0075834918757882175,-0.010880988646545187,-0.0023922073105705488,1,0,true,true,2.6586427690170877e-09,1.0673420634022965e-09,1.4800082856556397e-13,9.0078364231938445e-15,8.2800280307888155e-17,1.0673420634022965e-09,true,true,supported,valid,true,true,
monitor_train_001_step_006,monitor_train_001,train,6,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,67.772786098132741,20.008533067600624,20.649878228691268,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,1.0011889032743864,1.0037455768916612,0.99706980906573617,1.0011889032743864,1.0037455768916612,0.99706980906573617,67.263710173527372,20.074911537833223,0.013556176762908557,6.6312788971517012e+20,1.0599350341503856e+17,1.0599350341503856e+17,0.046517409123975076,1.8261423062934663,20.601498502845107,0.0066953916337783815,6.1875225715445875e-18,4.349039349961381e+20,4103.1187854346254,4.3490393499627382e+20,0.00015981316108378885,1.674366402796615,46.529553749107912,20.734156424421457,1.0075683592726605,0.99669346138300519,1.0023483595544993,0.0075683592726605298,-0.0033065386169948141,0.0023483595544993019,1,0,true,true,2.9938885608396728e-09,1.1946137737508614e-09,1.5604027128563928e-13,1.4846635861536674e-14,8.2737642731226552e-17,1.1946137737508614e-09,true,true,supported,valid,true,true,
monitor_train_001_step_007,monitor_train_001,train,7,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,66.445805109655453,20.095345828235914,20.566561401180479,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,0.98849087570197602,1.0017486402764586,0.99248347653457902,0.98849087570197602,1.0017486402764586,0.99248347653457902,66.410607983108889,20.034972805529172,0.013493820913879188,6.6486686818913328e+20,1.0477933420572517e+17,1.0477933420572517e+17,0.04596442170749783,1.82534311983322,20.655523620749921,0.0093353373260656198,6.1623522760818634e-18,4.2929600563626718e+20,4097.1438584779917,4.2929600563639982e+20,0.00015756962660885124,1.6821037619404025,45.952768043029018,20.457839940080031,1.0005299925360647,1.0030133818145279,0.99569305425498511,0.00052999253606467178,0.0030133818145279267,-0.0043069457450148896,1,0,true,true,2.5529171424032496e-09,1.0292519900897389e-09,1.544911462702573e-13,1.1656863449690274e-15,0,1.0292519900897389e-09,true,true,supported,valid,true,true,
monitor_train_001_step_008,monitor_train_001,train,8,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,68.648355423456536,19.999976981330395,20.633353171519811,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,1.0105330463474631,0.99655878033590073,0.9838498985643197,1.0105330463474631,0.99655878033590073,0.9838498985643197,67.89148554082503,19.931175606718014,0.013376438652379511,6.6722650486201503e+20,1.0729594785003312e+17,1.0729594785003312e+17,0.047040555457586362,1.8242630757225404,20.728830824590364,0.012917505112041979,6.12846550092633e-18,4.3874113679083884e+20,4089.074616351721,4.3874113679096847e+20,0.00016078302600560705,1.6968647270062838,46.995914721040812,20.895570819784915,1.0111482298052881,1.0034519476407198,0.9953939682426618,0.011148229805288068,0.0034519476407197658,-0.0046060317573382026,1,0,true,true,2.5560094221746943e-09,1.0249606918369848e-09,1.4772971705839781e-13,5.1501739065060072e-15,0,1.0249606918369848e-09,true,true,supported,valid,true,true,
monitor_train_001_step_009,monitor_train_001,train,9,64,1,20260920,67.183835092000663,20.464480789378285,20,0.013596015684810297,67.197243859485141,19.96086493581647,20.268786950000479,true,sensor,pressure_sensor_bias,step,moderate,positive,0.050000000000000003,22,false,0,0,1,false,none,none,0.99032183296757459,1.0022463005197322,1.0150693487070102,0.99032183296757459,1.0022463005197322,1.0150693487070102,66.533618714101351,20.044926010394644,0.013800898786190683,6.5039615402717466e+20,1.0388149943500566e+17,1.0388149943500566e+17,0.04573871479667594,1.8320785703601168,20.205959666697652,-0.012632674405050838,6.3770469064868485e-18,4.3085961158406865e+20,4147.6067820320295,4.3085961158428597e+20,0.00015969484052511822,1.6446759934866064,45.925502440495769,20.60811627360804,1.0099742830498282,0.99580636643235398,1.0031093441904853,0.0099742830498281698,-0.0041936335676460157,0.0031093441904852526,1,0,true,true,4.6142325487407628e-09,1.8159410957569475e-09,2.5219047011736739e-13,1.8422576777480762e-14,0,1.8159410957569475e-09,true,true,supported,valid,true,true,
