simulation_id,split,split_index,design_seed,nominal_absorbed_power_W,target_pressure_mTorr,nominal_flow_sccm,derived_pumping_speed_m3_s,gas_temperature_K,ion_neutral_cross_section_m2,radius_m,length_m,true_neutral_density_m3,true_ion_density_m3,true_electron_density_m3,true_electron_energy_density_J_m3,true_electron_temperature_eV,true_pressure_mTorr,ionization_rate_coefficient_m3_s,ionization_density_rate_m3_s,charged_wall_loss_rate_s,charged_wall_loss_density_rate_m3_s,ionization_fraction,residence_time_proxy_s,collisional_power_loss_W,wall_power_loss_W,integration_success,converged,max_relative_rate_s,pressure_target_relative_error,neutral_particle_balance,ion_particle_balance,electron_energy_balance,total_particle_identity,max_balance_residual,physical_state_valid,balance_valid,domain_status,model_validity_status,qualification_valid,is_ml_eligible,error_message
base_train_000001,train,1,20260910,23.13220152631402,28.873505527153611,20,0.0096363568161899945,300,1.0000000000000001e-18,0.17000000000000001,0.25,9.2939007491517488e+20,42616978938866264,42616978938866264,0.017701227399670828,1.7282997558731243,28.873507710779769,3.6565310023598143e-18,1.4482713857487539e+20,3398.3436222272608,1.4482713857548966e+20,4.585267907030048e-05,2.355455215611304,16.597474744327638,6.5347267819903028,true,true,3.2106646663266175e-08,7.5627330947423e-08,2.7660180056724961e-08,2.1206969012963042e-12,8.4724442847616868e-14,0,2.7660180056724961e-08,true,true,supported,valid,true,true,
base_train_000002,train,2,20260910,81.602612310089171,39.895413666963577,20,0.0069741199857337524,300,1.0000000000000001e-18,0.17000000000000001,0.25,1.2841665192461234e+21,1.7316134946515366e+17,1.7316134946515366e+17,0.06839495627386441,1.6435066352824774,39.895403336174304,2.2074608657819038e-18,4.9086867416086158e+20,2834.7473363495492,4.9086867415503779e+20,0.00013482519623224075,3.2546051643242824,60.540826351459216,21.061785958596229,true,true,7.9558681661821728e-08,2.5894678920154442e-07,5.7692700909347397e-08,5.9321274819485064e-12,2.0662029575133737e-13,0,5.7692700909347397e-08,true,true,supported,valid,true,true,
base_train_000003,train,3,20260910,55.701676975004375,21.538399895653129,20,0.012918109197612193,300,1.0000000000000001e-18,0.17000000000000001,0.25,6.9328516897007796e+20,89640845965877152,89640845965877152,0.039050251454391116,1.8126595168853896,21.538399443155015,5.77364124758373e-18,3.5881257178125258e+20,4002.7798478980385,3.5881257178074527e+20,0.00012928194779625662,1.7570688229188993,38.721496486719218,16.980180488282048,true,true,1.1956057437446421e-08,2.1008901117899841e-08,5.5011668779057968e-09,7.0693478419931039e-13,2.7842236115540436e-14,8.3047544014447351e-17,5.5011668779057968e-09,true,true,supported,valid,true,true,
base_train_000004,train,4,20260910,48.537973137572408,48.014964293688536,20,0.0057947643174746585,300,1.0000000000000001e-18,0.17000000000000001,0.25,1.5455209955155887e+21,1.1121221634443094e+17,1.1121221634443094e+17,0.042721640351609143,1.5984305483406855,48.014943978462696,1.6528700398053615e-18,2.8409665005667192e+20,2554.5453493339505,2.8409665005178723e+20,7.1952574349899324e-05,3.9169853472277172,36.68251614803193,11.855456989515341,true,true,1.0801413043307194e-07,4.2310196702594638e-07,1.2298993296403597e-07,8.5968859384079137e-12,2.5896102367102956e-13,4.152378035543583e-17,1.2298993296403597e-07,true,true,supported,valid,true,true,
base_train_000005,train,5,20260910,39.114261148497462,14.775056755170226,20,0.018831426938277135,300,1.0000000000000001e-18,0.17000000000000001,0.25,4.7558443980317681e+20,52463685814096104,52463685814096104,0.024374178241923349,1.9331677053541858,14.775056631670182,1.0371438308663577e-17,2.5877685106519009e+20,4932.4946779756119,2.5877685106501363e+20,0.0001103019665405555,1.205325915905493,26.053954597050005,13.060306551445928,true,true,6.9344214058913596e-09,8.3586849117178168e-09,2.523856296580325e-09,3.4094177913079268e-13,1.9527852704463051e-14,4.1523771744581324e-17,2.523856296580325e-09,true,true,supported,valid,true,true,
base_train_000006,train,6,20260910,65.055431365035474,54.094583299010992,20,0.0051434983842268203,300,1.0000000000000001e-18,0.17000000000000001,0.25,1.7412128279306311e+21,1.5631982179081107e+17,1.5631982179081107e+17,0.059006292607183763,1.5706615942405224,54.094532931129372,1.3720131917093286e-18,3.7344289093548782e+20,2388.9669694114432,3.7344289092253083e+20,8.9768342337161791e-05,4.4129511135441462,49.742256690273479,15.313174674692343,true,true,2.1098708749850994e-07,9.3110767378962768e-07,2.3917170758520235e-07,1.734802268663764e-11,5.3534716690363626e-13,8.3047581805198868e-17,2.3917170758520235e-07,true,true,supported,valid,true,true,
base_train_000007,train,7,20260910,72.239848491735756,23.23298872448504,20,0.011975876418372999,300,1.0000000000000001e-18,0.17000000000000001,0.25,7.4783117175011462e+20,1.2046076864800387e+17,1.2046076864800387e+17,0.05182396791053355,1.7901250872989429,23.232988695149498,5.1312514861689645e-18,4.6224528942734252e+20,3837.3098114386221,4.6224528942642319e+20,0.00016105422250680372,1.8953107170815255,50.63683739959248,21.603011092120937,true,true,1.8984379878849303e-08,1.2626675949212804e-09,2.9019723880248091e-10,9.9442766538502432e-13,1.5456386863012622e-13,0,2.9019723880248091e-10,true,true,supported,valid,true,true,
base_train_000008,train,8,20260910,32.565213516354561,46.414992436766624,20,0.0059945157197416245,300,1.0000000000000001e-18,0.17000000000000001,0.25,1.4940208700899522e+21,73593058002972384,73593058002972384,0.028413103667447055,1.6064979422995982,46.414981477551599,1.7427235523746576e-18,1.9161169571493836e+20,2603.6653580196285,1.9161169571306838e+20,4.9255960595635183e-05,3.7864621569738062,24.528830938193376,8.0363825781502314,true,true,6.235609780787529e-08,2.3611368762329755e-07,7.9464653894624131e-08,4.8795858964451997e-12,1.6814709171771592e-13,4.1523776473205259e-17,7.9464653894624131e-08,true,true,supported,valid,true,true,
base_train_000009,train,9,20260910,28.163277832791209,16.740960665047169,20,0.016620037963221763,300,1.0000000000000001e-18,0.17000000000000001,0.25,5.3886361687159479e+20,40163108416338832,40163108416338832,0.01825832380916521,1.8916114519493978,16.740960783577037,8.5435836979093169e-18,1.8490397933526621e+20,4603.8264125028754,1.8490397933535724e+20,7.452742012280662e-05,1.3657012680966401,19.031893801530259,9.131384031262554,true,true,5.1841499477179809e-09,7.0802309950062523e-09,2.4104221200422366e-09,2.4615344766302659e-13,2.844960988694088e-14,0,2.4104221200422366e-09,true,true,supported,valid,true,true,
base_train_000010,train,10,20260910,77.249538092873991,52.812272207811475,20,0.0052683853612481438,300,1.0000000000000001e-18,0.17000000000000001,0.25,1.6999372670520763e+21,1.8387423281084406e+17,1.8387423281084406e+17,0.069650905562325616,1.576174295753116,52.812218585990188,1.4244071668619926e-18,4.4523358703118588e+20,2421.4028263116761,4.4523358701406893e+20,0.00010815360643764414,4.3083421894576119,58.928479019011355,18.321059073768566,true,true,2.3565594632339799e-07,1.0153288060815038e-06,2.3850863701266549e-07,1.9222443143232692e-11,6.0887637902646102e-13,0,2.3850863701266549e-07,true,true,supported,valid,true,true,
